relationship_type,category,description,rank,suggested_wikidata_property,suggested_wikidata_label,suggested_wikidata_description,suggested_wikidata_type,score,confidence,query_used,method,review_status
RECEIVED_ENVOYS_FROM,Diplomatic,Received diplomatic envoys/representatives from entity,3,P7903,gained territory from,(qualifier) territorial entity from which the subject item gained territory as a result of the event in the statement,http://wikiba.se/ontology#WikibaseItem,0.455,low,received envoys from,local_catalog_similarity,pending_review
RECEIVED_OFFER_FROM,Diplomatic,Received offer of subjection/alliance from entity,1,P1889,different from,"item that is different from another item, with which it may be confused",http://wikiba.se/ontology#WikibaseItem,0.467,low,received offer from,local_catalog_similarity,pending_review
RECEIVED_OFFER_FROM,Diplomatic,Received offer of subjection/alliance from entity,2,P3094,develops from,this class of items develops from another class of items (biology),http://wikiba.se/ontology#WikibaseItem,0.459,low,received offer from,local_catalog_similarity,pending_review
RECEIVED_OFFER_FROM,Diplomatic,Received offer of subjection/alliance from entity,3,P1194,received signal type,type of signal received by a device,http://wikiba.se/ontology#WikibaseItem,0.449,low,received offer,local_catalog_similarity,pending_review
REJECTED_OFFER,Diplomatic,Rejected diplomatic offer/proposal,1,P11747,holds diplomatic passport of,country of the diplomatic passport held by the person,http://wikiba.se/ontology#WikibaseItem,0.279,low,Rejected diplomatic offer/proposal,local_catalog_similarity,pending_review
REJECTED_OFFER,Diplomatic,Rejected diplomatic offer/proposal,2,P530,diplomatic relation,diplomatic relations of the country,http://wikiba.se/ontology#WikibaseItem,0.277,low,Rejected diplomatic offer/proposal,local_catalog_similarity,pending_review
REJECTED_OFFER,Diplomatic,Rejected diplomatic offer/proposal,3,P531,diplomatic mission sent,"location of diplomatic mission, i.e. consulate of A in the capital city of B",http://wikiba.se/ontology#WikibaseItem,0.216,low,Rejected diplomatic offer/proposal,local_catalog_similarity,pending_review
SENT_ENVOYS_TO,Diplomatic,Sent diplomatic envoys/representatives,1,P3028,open period to,qualifier to P3025 (open days) for season when open days apply,http://wikiba.se/ontology#WikibaseItem,0.438,low,sent envoys to,local_catalog_similarity,pending_review
SENT_ENVOYS_TO,Diplomatic,Sent diplomatic envoys/representatives,2,P6118,season ends,to indicate what month of the year a sports season ends,http://wikiba.se/ontology#WikibaseItem,0.429,low,sent envoys to,local_catalog_similarity,pending_review
SENT_ENVOYS_TO,Diplomatic,Sent diplomatic envoys/representatives,3,P816,decays to,what isotope does this radioactive isotope decay to,http://wikiba.se/ontology#WikibaseItem,0.409,low,sent envoys to,local_catalog_similarity,pending_review
AVAILABLE_TO,Economic,Type available to social group,1,P953,work available at URL,URL of a web page containing this work,http://wikiba.se/ontology#Url,0.462,low,available to,local_catalog_similarity,pending_review
AVAILABLE_TO,Economic,Type available to social group,2,P5588,invasive to,"region which a taxon is not endemic to where the taxon has a tendency to spread to a degree believed to cause damage to the environment, human economy or human health",http://wikiba.se/ontology#WikibaseItem,0.460,low,available to,local_catalog_similarity,pending_review
AVAILABLE_TO,Economic,Type available to social group,3,P881,type of variable star,type of star,http://wikiba.se/ontology#WikibaseItem,0.444,low,Type available to social group,local_catalog_similarity,pending_review
CONFISCATED_LAND_FROM,Economic,Confiscated land from,1,P6684,first attested from,to indicate the first ''known'' usage of a word,http://wikiba.se/ontology#WikibaseItem,0.467,low,confiscated land from,local_catalog_similarity,pending_review
CONFISCATED_LAND_FROM,Economic,Confiscated land from,2,P4934,calculated from,value of the subject item cannot be measured directly or can be calculated from the following measurands or attributes,http://wikiba.se/ontology#WikibaseItem,0.467,low,confiscated land from,local_catalog_similarity,pending_review
CONFISCATED_LAND_FROM,Economic,Confiscated land from,3,P807,separated from,subject was founded or started by separating from identified object,http://wikiba.se/ontology#WikibaseItem,0.448,low,confiscated land from,local_catalog_similarity,pending_review
COST,Economic,Type has cost/value characteristic,1,P2130,capital cost,amount of money spent on building or producing an object,http://wikiba.se/ontology#Quantity,0.351,low,cost,local_catalog_similarity,pending_review
COST,Economic,Type has cost/value characteristic,2,P8431,course,"course type of a food dish (appetizer, dessert, drink, main course, salad, side dish)",http://wikiba.se/ontology#WikibaseItem,0.349,low,Type has cost/value characteristic,local_catalog_similarity,pending_review
COST,Economic,Type has cost/value characteristic,3,P10176,type host,the host taxon from which a parasite type specimen was obtained,http://wikiba.se/ontology#WikibaseItem,0.349,low,Type has cost/value characteristic,local_catalog_similarity,pending_review
DISTRIBUTED_LAND_TO,Economic,Distributed confiscated/conquered land,1,P750,distributed by,distributor of a creative work; distributor for a record label; news agency; film distributor,http://wikiba.se/ontology#WikibaseItem,0.564,low,distributed land,local_catalog_similarity,pending_review
DISTRIBUTED_LAND_TO,Economic,Distributed confiscated/conquered land,2,P10754,distributed from,place or location where a good or service is distributed from,http://wikiba.se/ontology#WikibaseItem,0.563,low,distributed land,local_catalog_similarity,pending_review
DISTRIBUTED_LAND_TO,Economic,Distributed confiscated/conquered land,3,P825,dedicated to,person or organization to whom the subject was dedicated,http://wikiba.se/ontology#WikibaseItem,0.404,low,distributed land to,local_catalog_similarity,pending_review
ECONOMIC_ACTION,Economic,Generic economic action,1,P3310,muscle action,action a muscle engages in,http://wikiba.se/ontology#WikibaseItem,0.476,low,economic action,local_catalog_similarity,pending_review
ECONOMIC_ACTION,Economic,Generic economic action,2,P12995,agent of action,particular animate item that initiates this action or class of actions,http://wikiba.se/ontology#WikibaseItem,0.474,low,Generic economic action,local_catalog_similarity,pending_review
ECONOMIC_ACTION,Economic,Generic economic action,3,P12993,role of agent(s) of action,role that animate agents of this action take on in the context of this action,http://wikiba.se/ontology#WikibaseItem,0.430,low,economic action,local_catalog_similarity,pending_review
EXPERIENCED_RECESSION,Economic,Economy experienced recession,1,P8744,economy of topic,item that deals with the economy of the subject,http://wikiba.se/ontology#WikibaseItem,0.272,low,Economy experienced recession,local_catalog_similarity,pending_review
EXPERIENCED_RECESSION,Economic,Economy experienced recession,2,P7015,surface gravity,gravitational acceleration experienced at the equator of an astronomical body surface,http://wikiba.se/ontology#Quantity,0.243,low,experienced recession,local_catalog_similarity,pending_review
EXPERIENCED_RECESSION,Economic,Economy experienced recession,3,P5588,invasive to,"region which a taxon is not endemic to where the taxon has a tendency to spread to a degree believed to cause damage to the environment, human economy or human health",http://wikiba.se/ontology#WikibaseItem,0.231,low,Economy experienced recession,local_catalog_similarity,pending_review
LAND_CONFISCATED_BY,Economic,Had land confiscated by,1,P1028,donated by,person or organization who donated the object,http://wikiba.se/ontology#WikibaseItem,0.532,low,land confiscated by,local_catalog_similarity,pending_review
LAND_CONFISCATED_BY,Economic,Had land confiscated by,2,P4353,nominated by,who nominated a person for an office or award; can be used as a qualifier,http://wikiba.se/ontology#WikibaseItem,0.489,low,land confiscated by,local_catalog_similarity,pending_review
LAND_CONFISCATED_BY,Economic,Had land confiscated by,3,P467,legislated by,indicates that an act or bill was passed by a legislature. The value can be a particular session of the legislature,http://wikiba.se/ontology#WikibaseItem,0.473,low,land confiscated by,local_catalog_similarity,pending_review
LAND_DISTRIBUTED_BY,Economic,Land was distributed by entity,1,P750,distributed by,distributor of a creative work; distributor for a record label; news agency; film distributor,http://wikiba.se/ontology#WikibaseItem,0.649,low,land distributed by,local_catalog_similarity,pending_review
LAND_DISTRIBUTED_BY,Economic,Land was distributed by entity,2,P10754,distributed from,place or location where a good or service is distributed from,http://wikiba.se/ontology#WikibaseItem,0.524,low,land distributed,local_catalog_similarity,pending_review
LAND_DISTRIBUTED_BY,Economic,Land was distributed by entity,3,P1310,statement disputed by,entity that disputes a given statement,http://wikiba.se/ontology#WikibaseItem,0.520,low,land distributed by,local_catalog_similarity,pending_review
RECESSION_IN,Economic,Recession occurred in economy,1,P6524,expression of,"realization of a work through words, sound, image etc. in the FRBR model",http://wikiba.se/ontology#WikibaseItem,0.488,low,recession in,local_catalog_similarity,pending_review
RECESSION_IN,Economic,Recession occurred in economy,2,P1910,decreased expression in,indicates that a decreased expression of the subject gene is found in the object disease,http://wikiba.se/ontology#WikibaseItem,0.481,low,recession in,local_catalog_similarity,pending_review
RECESSION_IN,Economic,Recession occurred in economy,3,P1911,increased expression in,this property should link a gene and a disease and indicate that an increased expression of the gene is found in the disease,http://wikiba.se/ontology#WikibaseItem,0.476,low,recession in,local_catalog_similarity,pending_review
RESTRICTED_TO,Economic,Type restricted to group,1,P825,dedicated to,person or organization to whom the subject was dedicated,http://wikiba.se/ontology#WikibaseItem,0.550,low,restricted to,local_catalog_similarity,pending_review
RESTRICTED_TO,Economic,Type restricted to group,2,P2210,relative to,qualifier: what a statement value is relative to,http://wikiba.se/ontology#WikibaseItem,0.519,low,restricted to,local_catalog_similarity,pending_review
RESTRICTED_TO,Economic,Type restricted to group,3,P13047,leased to,person or organisation that holds or was granted a lease on the subject,http://wikiba.se/ontology#WikibaseItem,0.486,low,restricted to,local_catalog_similarity,pending_review
SOLD_INTO_SLAVERY,Economic,Sold people into slavery,1,P14095,translates into,"language(s) that this person, company or organization translates works and texts into",http://wikiba.se/ontology#WikibaseItem,0.357,low,sold into slavery,local_catalog_similarity,pending_review
SOLD_INTO_SLAVERY,Economic,Sold people into slavery,2,P7888,merged into,"the subject was dissolved and merged into the object, that existed previously",http://wikiba.se/ontology#WikibaseItem,0.355,low,sold into slavery,local_catalog_similarity,pending_review
SOLD_INTO_SLAVERY,Economic,Sold people into slavery,3,P1040,film editor,"person who works with the raw footage, selecting shots and combining them into sequences to create a finished motion picture",http://wikiba.se/ontology#WikibaseItem,0.343,low,sold into slavery,local_catalog_similarity,pending_review
SOLD_INTO_SLAVERY_BY,Economic,People were sold into slavery by entity,1,P1136,solved by,person that solved a scientific question,http://wikiba.se/ontology#WikibaseItem,0.440,low,sold into slavery by,local_catalog_similarity,pending_review
SOLD_INTO_SLAVERY_BY,Economic,People were sold into slavery by entity,2,P1703,is pollinated by,how pollen from the male anthers is transferred to the female stigma of a flower,http://wikiba.se/ontology#WikibaseItem,0.428,low,sold into slavery by,local_catalog_similarity,pending_review
SOLD_INTO_SLAVERY_BY,Economic,People were sold into slavery by entity,3,P1363,points/goal scored by,person who scored a point or goal in a game,http://wikiba.se/ontology#WikibaseItem,0.422,low,sold into slavery by,local_catalog_similarity,pending_review
VALUED_AT,Economic,Type valued at amount,1,P9731,announced at,event at which product or creative work was announced,http://wikiba.se/ontology#WikibaseItem,0.516,low,valued at,local_catalog_similarity,pending_review
VALUED_AT,Economic,Type valued at amount,2,P69,educated at,educational institution attended by subject,http://wikiba.se/ontology#WikibaseItem,0.480,low,valued at,local_catalog_similarity,pending_review
VALUED_AT,Economic,Type valued at amount,3,P138,named after,"entity or event that inspired the subject's name, or namesake (in at least one language). Qualifier ""applies to name"" (P5168) can be used to indicate which one",http://wikiba.se/ontology#WikibaseItem,0.453,low,valued at,local_catalog_similarity,pending_review
DISPLACED_BY,Evolution,Type was displaced by another type,1,P1366,replaced by,"other person or item which continues the item by replacing it in its role. Use P156 (""followed by"") if the item is not replaced nor identical, but adds to the series (e.g. books in a series).",http://wikiba.se/ontology#WikibaseItem,0.570,low,displaced by,local_catalog_similarity,pending_review
DISPLACED_BY,Evolution,Type was displaced by another type,2,P467,legislated by,indicates that an act or bill was passed by a legislature. The value can be a particular session of the legislature,http://wikiba.se/ontology#WikibaseItem,0.542,low,displaced by,local_catalog_similarity,pending_review
DISPLACED_BY,Evolution,Type was displaced by another type,3,P1703,is pollinated by,how pollen from the male anthers is transferred to the female stigma of a flower,http://wikiba.se/ontology#WikibaseItem,0.534,low,displaced by,local_catalog_similarity,pending_review
INTRODUCED_BY,Evolution,Type was introduced by event,1,P10695,introduced in,work that introduced this concept or feature,http://wikiba.se/ontology#WikibaseItem,0.641,low,introduced,local_catalog_similarity,pending_review
INTRODUCED_BY,Evolution,Type was introduced by event,2,P2849,produced by,links a class of biological features (such as a biochemical compound) with another class of biological entities known to produce it,http://wikiba.se/ontology#WikibaseItem,0.608,low,introduced by,local_catalog_similarity,pending_review
INTRODUCED_BY,Evolution,Type was introduced by event,3,P9448,introduced on,date when a bill was introduced into a legislature,http://wikiba.se/ontology#Time,0.601,low,introduced,local_catalog_similarity,pending_review
OBSOLETE_DUE_TO,Evolution,Type became obsolete due to reason,1,P13047,leased to,person or organisation that holds or was granted a lease on the subject,http://wikiba.se/ontology#WikibaseItem,0.450,low,obsolete due to,local_catalog_similarity,pending_review
OBSOLETE_DUE_TO,Evolution,Type became obsolete due to reason,2,P9030,solution to,a mathematical object that satisfies the criteria for a mathematical problem,http://wikiba.se/ontology#WikibaseItem,0.425,low,obsolete due to,local_catalog_similarity,pending_review
OBSOLETE_DUE_TO,Evolution,Type became obsolete due to reason,3,P825,dedicated to,person or organization to whom the subject was dedicated,http://wikiba.se/ontology#WikibaseItem,0.416,low,obsolete due to,local_catalog_similarity,pending_review
PHASED_OUT_BECAUSE,Evolution,Type was phased out because of reason,1,P8746,check-out time,the latest time of day a guest may check out of a hotel or lodge without incurring additional cost,http://wikiba.se/ontology#WikibaseItem,0.399,low,phased out because,local_catalog_similarity,pending_review
PHASED_OUT_BECAUSE,Evolution,Type was phased out because of reason,2,P515,phase of matter,state or phase of the matter at which the measure was made,http://wikiba.se/ontology#WikibaseItem,0.383,low,Type was phased out because of reason,local_catalog_similarity,pending_review
PHASED_OUT_BECAUSE,Evolution,Type was phased out because of reason,3,P1534,end cause,qualifier used together with the end date qualifier (P582) to specify the reason for the end,http://wikiba.se/ontology#WikibaseItem,0.382,low,Type was phased out because of reason,local_catalog_similarity,pending_review
PREVALENT_DURING,Evolution,Type was prevalent during period,1,P10408,created during,specific event or occurrence a work was created during,http://wikiba.se/ontology#WikibaseItem,0.572,low,prevalent during,local_catalog_similarity,pending_review
PREVALENT_DURING,Evolution,Type was prevalent during period,2,P5072,presented in,"event at which a talk, film, paper, or poster was presented",http://wikiba.se/ontology#WikibaseItem,0.419,low,Type was prevalent during period,local_catalog_similarity,pending_review
PREVALENT_DURING,Evolution,Type was prevalent during period,3,P3323,opponent during disputation,participant in the defense of a doctoral thesis,http://wikiba.se/ontology#WikibaseItem,0.417,low,Type was prevalent during period,local_catalog_similarity,pending_review
ADOPTED,Familial,Adopter legally adopted person,1,P5202,adapted by,person responsible for the arrangement or adaptation resulting in this version of the original work,http://wikiba.se/ontology#WikibaseItem,0.440,low,Adopter legally adopted person,local_catalog_similarity,pending_review
ADOPTED,Familial,Adopter legally adopted person,2,P1028,donated by,person or organization who donated the object,http://wikiba.se/ontology#WikibaseItem,0.386,low,Adopter legally adopted person,local_catalog_similarity,pending_review
ADOPTED,Familial,Adopter legally adopted person,3,P748,appointed by,"who appointed the person to the position, can be used as a qualifier",http://wikiba.se/ontology#WikibaseItem,0.341,low,Adopter legally adopted person,local_catalog_similarity,pending_review
ADOPTED_BY,Familial,Person was legally adopted by adopter,1,P5202,adapted by,person responsible for the arrangement or adaptation resulting in this version of the original work,http://wikiba.se/ontology#WikibaseItem,0.662,low,adopted by,local_catalog_similarity,pending_review
ADOPTED_BY,Familial,Person was legally adopted by adopter,2,P1028,donated by,person or organization who donated the object,http://wikiba.se/ontology#WikibaseItem,0.617,low,adopted by,local_catalog_similarity,pending_review
ADOPTED_BY,Familial,Person was legally adopted by adopter,3,P1299,depicted by,"object depicting this subject (object being creative works such as books, films, paintings)",http://wikiba.se/ontology#WikibaseItem,0.566,low,adopted by,local_catalog_similarity,pending_review
AUNT_OF,Familial,Aunt of person,1,P1066,student of,person who has taught this person,http://wikiba.se/ontology#WikibaseItem,0.571,low,aunt of,local_catalog_similarity,pending_review
AUNT_OF,Familial,Aunt of person,2,P3205,patient of,was treated or studied as a patient by this person,http://wikiba.se/ontology#WikibaseItem,0.550,low,aunt of,local_catalog_similarity,pending_review
AUNT_OF,Familial,Aunt of person,3,P3772,agonist of,protein for which this chemical acts as an agonist,http://wikiba.se/ontology#WikibaseItem,0.540,low,aunt of,local_catalog_similarity,pending_review
BROTHER_IN_LAW,Familial,Person is brother-in-law,1,P2291,charted in,chart where the element reached a position,http://wikiba.se/ontology#WikibaseItem,0.405,low,brother in law,local_catalog_similarity,pending_review
BROTHER_IN_LAW,Familial,Person is brother-in-law,2,P4371,KBO pitcher ID,identifier for a baseball pitcher in koreabaseball.com,http://wikiba.se/ontology#ExternalId,0.399,low,brother in law,local_catalog_similarity,pending_review
BROTHER_IN_LAW,Familial,Person is brother-in-law,3,P2541,operating area,"geographic area or jurisdiction an organisation or industry operates in, serves, or has responsibility for",http://wikiba.se/ontology#WikibaseItem,0.396,low,brother in law,local_catalog_similarity,pending_review
BROTHER_IN_LAW_OF,Familial,Brother-in-law of person,1,P5096,member of the crew of,"person who has been a member of a crew associated with the vessel or spacecraft. For spacecraft, inverse of crew member (P1029), backup or reserve team or crew (P3015)",http://wikiba.se/ontology#WikibaseItem,0.447,low,brother in law of,local_catalog_similarity,pending_review
BROTHER_IN_LAW_OF,Familial,Brother-in-law of person,2,P609,terminus location,location of the terminus of a linear feature,http://wikiba.se/ontology#WikibaseItem,0.428,low,brother in law of,local_catalog_similarity,pending_review
BROTHER_IN_LAW_OF,Familial,Brother-in-law of person,3,P6977,review of,this property connects a review to the work it reviews,http://wikiba.se/ontology#WikibaseItem,0.424,low,brother in law of,local_catalog_similarity,pending_review
CHILD_OF,Familial,Person is child of parent,1,P40,child,"subject has object as child. Do not use for stepchildren—use ""relative"" (P1038), qualified with ""kinship to subject"" (P1039)",http://wikiba.se/ontology#WikibaseItem,0.626,low,child,local_catalog_similarity,pending_review
CHILD_OF,Familial,Person is child of parent,2,P1531,hybrid of,parent of this hybrid breed or cultivar,http://wikiba.se/ontology#WikibaseItem,0.564,low,child of,local_catalog_similarity,pending_review
CHILD_OF,Familial,Person is child of parent,3,P1780,school of,"for a creative work with author with a style influenced by the known author or circle, active in the same period, but a student or follower",http://wikiba.se/ontology#WikibaseItem,0.523,low,child of,local_catalog_similarity,pending_review
COUSIN_OF,Familial,Person is cousin,1,P399,companion of,two or more astronomic bodies of the same type relating to each other,http://wikiba.se/ontology#WikibaseItem,0.497,low,cousin of,local_catalog_similarity,pending_review
COUSIN_OF,Familial,Person is cousin,2,P10927,counts instances of,this counter word or numeral counts instances of,http://wikiba.se/ontology#WikibaseItem,0.490,low,cousin of,local_catalog_similarity,pending_review
COUSIN_OF,Familial,Person is cousin,3,P11279,counts number of,this entity represents the number or quantity of this item,http://wikiba.se/ontology#WikibaseItem,0.484,low,cousin of,local_catalog_similarity,pending_review
DAUGHTER_IN_LAW,Familial,Person is daughter-in-law,1,P3005,valid in place,place where a statement is valid,http://wikiba.se/ontology#WikibaseItem,0.416,low,daughter in law,local_catalog_similarity,pending_review
DAUGHTER_IN_LAW,Familial,Person is daughter-in-law,2,P248,stated in,to be used in the references field to refer to the information document or database in which a claim is made; for qualifiers use P805; for the type of document in which a claim is made use P3865,http://wikiba.se/ontology#WikibaseItem,0.393,low,daughter in law,local_catalog_similarity,pending_review
DAUGHTER_IN_LAW,Familial,Person is daughter-in-law,3,P5206,has conjugation class,"conjugation pattern for group of verbs in the language. Use on items for languages. For lexemes, use ""conjugation class"" (P5186).",http://wikiba.se/ontology#WikibaseItem,0.393,low,daughter in law,local_catalog_similarity,pending_review
DAUGHTER_IN_LAW_OF,Familial,Daughter-in-law of person,1,P6185,tautomer of,target item is a tautomer of this one,http://wikiba.se/ontology#WikibaseItem,0.439,low,daughter in law of,local_catalog_similarity,pending_review
DAUGHTER_IN_LAW_OF,Familial,Daughter-in-law of person,2,P10946,contraindicated in case of,medical condition for which the net benefit of a medical procedure is expected to be negative,http://wikiba.se/ontology#WikibaseItem,0.439,low,daughter in law of,local_catalog_similarity,pending_review
DAUGHTER_IN_LAW_OF,Familial,Daughter-in-law of person,3,P4675,appears in the form of,this fictional or mythical entity takes the form of that entity,http://wikiba.se/ontology#WikibaseItem,0.424,low,daughter in law of,local_catalog_similarity,pending_review
FAMILIAL_RELATION,Familial,Generic familial relationship,1,P530,diplomatic relation,diplomatic relations of the country,http://wikiba.se/ontology#WikibaseItem,0.476,low,familial relation,local_catalog_similarity,pending_review
FAMILIAL_RELATION,Familial,Generic familial relationship,2,P2309,relation,"qualifier to define a property constraint in combination with P2302. Possibly values are: ""instance of"", ""subclass of"" or ""instance or subclass of"". The qualifier to use with the property ""relative"" is ""type of kinship"" (P1039), not this",http://wikiba.se/ontology#WikibaseItem,0.473,low,familial relation,local_catalog_similarity,pending_review
FAMILIAL_RELATION,Familial,Generic familial relationship,3,P4390,mapping relation type,qualifier to more precisely define the relation of the item to the external identifier using SKOS,http://wikiba.se/ontology#WikibaseItem,0.439,low,familial relation,local_catalog_similarity,pending_review
FATHER_IN_LAW,Familial,Person is father-in-law,1,P22,father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",http://wikiba.se/ontology#WikibaseItem,0.486,low,father in law,local_catalog_similarity,pending_review
FATHER_IN_LAW,Familial,Person is father-in-law,2,P3005,valid in place,place where a statement is valid,http://wikiba.se/ontology#WikibaseItem,0.439,low,father in law,local_catalog_similarity,pending_review
FATHER_IN_LAW,Familial,Person is father-in-law,3,P248,stated in,to be used in the references field to refer to the information document or database in which a claim is made; for qualifiers use P805; for the type of document in which a claim is made use P3865,http://wikiba.se/ontology#WikibaseItem,0.423,low,father in law,local_catalog_similarity,pending_review
FATHER_IN_LAW_OF,Familial,Father-in-law of person,1,P22,father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",http://wikiba.se/ontology#WikibaseItem,0.478,low,father in law,local_catalog_similarity,pending_review
FATHER_IN_LAW_OF,Familial,Father-in-law of person,2,P10228,facilitates flow of,the cargo/substrate actively transported or passively channeled by subject,http://wikiba.se/ontology#WikibaseItem,0.443,low,father in law of,local_catalog_similarity,pending_review
FATHER_IN_LAW_OF,Familial,Father-in-law of person,3,P4675,appears in the form of,this fictional or mythical entity takes the form of that entity,http://wikiba.se/ontology#WikibaseItem,0.441,low,father in law of,local_catalog_similarity,pending_review
GRANDCHILD_OF,Familial,Grandchild of grandparent,1,P10680,franchisor,"one who licenses some or all of its know-how, procedures, intellectual property, use of its business model, brand, and rights to sell its branded products and services to a franchisee",http://wikiba.se/ontology#WikibaseItem,0.458,low,grandchild of,local_catalog_similarity,pending_review
GRANDCHILD_OF,Familial,Grandchild of grandparent,2,P1531,hybrid of,parent of this hybrid breed or cultivar,http://wikiba.se/ontology#WikibaseItem,0.446,low,grandchild of,local_catalog_similarity,pending_review
GRANDCHILD_OF,Familial,Grandchild of grandparent,3,P5277,grade of kanji,degree of difficulty of kanji,http://wikiba.se/ontology#WikibaseItem,0.442,low,grandchild of,local_catalog_similarity,pending_review
GRANDPARENT_OF,Familial,Grandparent of grandchild,1,P1290,godparent,person who is the godparent of a given person,http://wikiba.se/ontology#WikibaseItem,0.539,low,grandparent of,local_catalog_similarity,pending_review
GRANDPARENT_OF,Familial,Grandparent of grandchild,2,P3205,patient of,was treated or studied as a patient by this person,http://wikiba.se/ontology#WikibaseItem,0.512,low,grandparent of,local_catalog_similarity,pending_review
GRANDPARENT_OF,Familial,Grandparent of grandchild,3,P1639,pendant of,"other work in a pair of opposing artworks, such as wedding portraits, commissioned together, but not always",http://wikiba.se/ontology#WikibaseItem,0.501,low,grandparent of,local_catalog_similarity,pending_review
MOTHER_IN_LAW,Familial,Person is mother-in-law,1,P25,mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",http://wikiba.se/ontology#WikibaseItem,0.486,low,mother in law,local_catalog_similarity,pending_review
MOTHER_IN_LAW,Familial,Person is mother-in-law,2,P612,mother house,principal house or community for a religious institute,http://wikiba.se/ontology#WikibaseItem,0.444,low,mother in law,local_catalog_similarity,pending_review
MOTHER_IN_LAW,Familial,Person is mother-in-law,3,P13723,modern shrine ranking,rank in the Modern system of ranked Shinto Shrines,http://wikiba.se/ontology#WikibaseItem,0.420,low,mother in law,local_catalog_similarity,pending_review
MOTHER_IN_LAW_OF,Familial,Mother-in-law of person,1,P25,mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",http://wikiba.se/ontology#WikibaseItem,0.478,low,mother in law,local_catalog_similarity,pending_review
MOTHER_IN_LAW_OF,Familial,Mother-in-law of person,2,P612,mother house,principal house or community for a religious institute,http://wikiba.se/ontology#WikibaseItem,0.450,low,mother in law of,local_catalog_similarity,pending_review
MOTHER_IN_LAW_OF,Familial,Mother-in-law of person,3,P609,terminus location,location of the terminus of a linear feature,http://wikiba.se/ontology#WikibaseItem,0.438,low,mother in law of,local_catalog_similarity,pending_review
NEPHEW_OR_NIECE_OF,Familial,Person is nephew or niece,1,P2550,recording or performance of,item is a recording or release of this composition,http://wikiba.se/ontology#WikibaseItem,0.424,low,nephew or niece of,local_catalog_similarity,pending_review
NEPHEW_OR_NIECE_OF,Familial,Person is nephew or niece,2,P9275,inverse agonist of,substance whose binding to a protein produces the opposite response as an agonist binding to that protein,http://wikiba.se/ontology#WikibaseItem,0.422,low,nephew or niece of,local_catalog_similarity,pending_review
NEPHEW_OR_NIECE_OF,Familial,Person is nephew or niece,3,P629,edition or translation of,is an edition or translation of this entity,http://wikiba.se/ontology#WikibaseItem,0.420,low,nephew or niece of,local_catalog_similarity,pending_review
SISTER_IN_LAW,Familial,Person is sister-in-law,1,P6835,title in LaTeX,"(qualifier) for title property (P1476), to write title in LaTeX/math notation, if the string can't render it normally. Enclose normal text with ""\text{"" and ""}""",http://wikiba.se/ontology#Math,0.446,low,sister in law,local_catalog_similarity,pending_review
SISTER_IN_LAW,Familial,Person is sister-in-law,2,P3005,valid in place,place where a statement is valid,http://wikiba.se/ontology#WikibaseItem,0.439,low,sister in law,local_catalog_similarity,pending_review
SISTER_IN_LAW,Familial,Person is sister-in-law,3,P2650,interested in,item of special or vested interest to this person or organisation,http://wikiba.se/ontology#WikibaseItem,0.434,low,sister in law,local_catalog_similarity,pending_review
SISTER_IN_LAW_OF,Familial,Sister-in-law of person,1,P1066,student of,person who has taught this person,http://wikiba.se/ontology#WikibaseItem,0.450,low,sister in law of,local_catalog_similarity,pending_review
SISTER_IN_LAW_OF,Familial,Sister-in-law of person,2,P461,opposite of,item that is in some way the opposite of this item,http://wikiba.se/ontology#WikibaseItem,0.443,low,sister in law of,local_catalog_similarity,pending_review
SISTER_IN_LAW_OF,Familial,Sister-in-law of person,3,P2650,interested in,item of special or vested interest to this person or organisation,http://wikiba.se/ontology#WikibaseItem,0.438,low,sister in law,local_catalog_similarity,pending_review
SON_IN_LAW,Familial,Person is son-in-law,1,P703,found in taxon,the taxon in which the item can be found,http://wikiba.se/ontology#WikibaseItem,0.462,low,son in law,local_catalog_similarity,pending_review
SON_IN_LAW,Familial,Person is son-in-law,2,P1441,present in work,"this (fictional or fictionalized) entity, place, or person appears in that work as part of the narration (use P2860 for works citing other works, P361/P1433 for works being part of other works, P1343 for entities described in non-fictional accounts)",http://wikiba.se/ontology#WikibaseItem,0.429,low,son in law,local_catalog_similarity,pending_review
SON_IN_LAW,Familial,Person is son-in-law,3,P3005,valid in place,place where a statement is valid,http://wikiba.se/ontology#WikibaseItem,0.427,low,son in law,local_catalog_similarity,pending_review
SON_IN_LAW_OF,Familial,Son-in-law of person,1,P703,found in taxon,the taxon in which the item can be found,http://wikiba.se/ontology#WikibaseItem,0.466,low,son in law of,local_catalog_similarity,pending_review
SON_IN_LAW_OF,Familial,Son-in-law of person,2,P1441,present in work,"this (fictional or fictionalized) entity, place, or person appears in that work as part of the narration (use P2860 for works citing other works, P361/P1433 for works being part of other works, P1343 for entities described in non-fictional accounts)",http://wikiba.se/ontology#WikibaseItem,0.447,low,son in law of,local_catalog_similarity,pending_review
SON_IN_LAW_OF,Familial,Son-in-law of person,3,P1677,index case of,"primary case, patient zero: initial patient in the population of an epidemiological investigation",http://wikiba.se/ontology#WikibaseItem,0.445,low,son in law of,local_catalog_similarity,pending_review
