token,qid,label,description,aliases,all_qids,all_labels,all_descriptions,confidence,rank,instanceOf_qid,instanceOf_label,subclassOf_qid,subclassOf_label,partOf_qid,partOf_label
Câmpia Careilor,,,,,,,,0.0,,,,,,,
Câmpia de Vest,Q185032,Pannonian Basin,plain in Europe,Câmpia de Vest,Q11792453;Q185032,Câmpia de Vest;Pannonian Basin,;plain in Europe,0.95,"{'type': 'alias', 'language': 'cs', 'text': 'Câmpia de Vest'}","Q115346835,Q12018181,Q160091,Q82794","geomorphological subsystem,plain,region,temperate steppe",,,Q847514,Alpide belt
Córdoba,Q5818,Córdoba,"municipality in the province of Córdoba, Spain",,Q101948176;Q10499;Q20270883;Q44210;Q44759;Q5202717;Q5796926;Q5818;Q81972;Q989492,Córdoba;Córdoba CF;Córdoba Province,"Andalusian city, capital of the municipality of the same name;Metro station in Buenos Aires;Mexican city;Spanish Congress Electoral District;Spanish association football team;city in Argentina, capital of its province;municipality in Veracruz, Mexico;municipality in the province of Córdoba, Spain;province in Spain;province of Argentina",1.0,"{'type': 'label', 'language': 'en', 'text': 'Córdoba'}",Q2074737,municipality of Spain,,,"Q100593640,Q19942150,Q535716","Comarca de Córdoba,Q100593640,Red de Juderías de España"
Córdoba (provincia,Q44759,Córdoba Province,province of Argentina,Còrdoba (provincia);Córdoba (provincia),Q44759;Q81972;Q91116343,Córdoba (province);Córdoba Province,electoral district of the Second Spanish Republic;province in Spain;province of Argentina,0.8,"{'type': 'alias', 'language': 'pms', 'text': 'Còrdoba (provincia)'}",Q44753,province of Argentina,,,Q18472447,South America Midwest Integrated Zone
Côte d'Ivoire,Q120669634,Côte d'Ivoire,encyclopedia article published in 2018,Cote d'Ivoire;Cote d'Ivoire Republican Forces;Côte d'Ivoire'i jalgpallikoondis,Q1008;Q108420989;Q120669634;Q175145;Q3088888;Q3088889;Q3088892;Q3182280;Q5202776;Q897759,Cote d'Ivoire National Road Cycling Championships - Men RR;Côte d'Ivoire;Côte d'Ivoire national under-20 football team;Côte d'Ivoire women's national handball team;Côte d'Ivoire–Ghana border;Côte d'Ivoire–Guinea border;Côte d'Ivoire–Mali border;Ivory Coast;Ivory Coast men's national football team;Republican Forces of Ivory Coast,;combined military forces of Ivory Coast;encyclopedia article published in 2018;handball team;international border;national association football team;sovereign state in West Africa,1.0,"{'type': 'label', 'language': 'en', 'text': ""Côte d'Ivoire""}",Q13433827,encyclopedia article,,,,
Călărași County,Q188948,Călărași County,county in Romania,Călărași County COVID-19 pandemic,Q104720263;Q188948;Q33673835;Q42870966;Q61082676;Q89588535,COVID-19 pandemic in Călărași County;Călărași County;Călărași County Branch of National Archives;Călărași County Council;Călărași County councillor;Călărași county library,";county in Romania;elected assembly of Călărași County, Romania;heritage site in Călărași County, Romania;member of Călărași County Council",1.0,"{'type': 'label', 'language': 'en', 'text': 'Călărași County'}",Q1776764,county of Romania,,,,
Damascus,Q3766,Damascus,capital and largest city of Syria,Damascus Surroundings,Q122385723;Q1351317;Q1374077;Q2199224;Q232399;Q3476539;Q3766;Q3934822;Q5212022;Q754122,Damascus;Damascus University;Damascus eyalet;Rif Dimashq Governorate,"2020 video game;Ottoman province in the Levant;Thoroughbred racehorse;capital and largest city of Syria;census-designated place in Maryland, United States;city in Early County, Georgia, United States;city in Oregon, USA;governorate in Syria;town in Virginia, United States;university in Syria",1.0,"{'type': 'label', 'language': 'en', 'text': 'Damascus'}","Q108178728,Q1549591,Q15661340,Q16127605,Q515,Q51929311","ancient city,big city,city,largest city,national capital,populated place in Syria",,,Q1589883,Hauran
Damascus and southern Syria,,,,,,,,0.0,,,,,,,
Dardani,Q115806216,Dardani,family name,,Q115806216;Q18107059;Q50967525;Q60320279;Q60320285;Q60320290;Q60320291;Q60320297;Q7043335;Q827501,Dardani;Dardani (Pauly-Wissowa);Dardania;Dardania 1 (Pauly-Wissowa);Dardania 2 (Pauly-Wissowa);Dardania 3 (Pauly-Wissowa);Dardanidai (Pauly-Wissowa);Dardanis (Pauly-Wissowa),Roman province;ancient tribe in the Balkans;encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE);family name;genus of Gastropoda,1.0,"{'type': 'label', 'language': 'en', 'text': 'Dardani'}",Q101352,family name,,,,
Daylam,Q1157591,Deylaman,city,Daylam;Daylaman;Daylami,Q106739558;Q10996559;Q113459972;Q1157591;Q1157592;Q11916729;Q123592359;Q21767988;Q3019341;Q35242,Daylam Meddah;Daylamah Sāy;Daylami;Daylami family;Daylamites;Deylaman;Deylami;IRIS Deylaman,;Extinct Iranian language of northern Iran;Irish-bred Thoroughbred racehorse;Moroccan and French footballer;Wikimedia disambiguation page;ancient Iranian people;city;iranian-made Moudge-class frigate;river in Afghanistan,0.95,"{'type': 'label', 'language': 'vec', 'text': 'Daylam'}","Q56557504,Q82794","city of Iran,region",,,,
De la cursul superior al râului Călmățui din estul Munteniei și până în vestul Olteniei,,,,,,,,0.0,,,,,,,
Delaware,Q1393,Delaware,state of the United States of America,Delaware College;Delaware people,Q1068072;Q115289;Q1393;Q143762;Q15760654;Q2571194;Q2665761;Q37477128;Q82048;Q986183,Delaware;Delaware Colony;Delaware County;Delaware Medical Journal;Delaware River;Lenape;University of Delaware,"Native American languages centered around the Delaware River;city in Ohio, United States; county seat of Delaware County;county in New York, United States;family name;former colony in North America, part of Great Britain;indigenous people of North America;journal;major river on the East coast of the United States of America;state of the United States of America;university in Newark, Delaware, USA",1.0,"{'type': 'label', 'language': 'en', 'text': 'Delaware'}",Q35657,U.S. state,,,"Q2261430,Q578170","South Atlantic states,contiguous United States"
Democratic Republic of the Congo,Q974,Democratic Republic of the Congo,country in Central Africa,Democratic Republic of the Congo;Democratic Republic of the Congo COVID-19 pandemic;Democratic Republic of the Congo history;Democratic Republic of the Congo national football team;Democratic Republic of the Congo-Angola border,Q270080;Q3088704;Q3088800;Q3088978;Q3088979;Q3088981;Q618399;Q87706558;Q920346;Q974,Angola–Democratic Republic of the Congo border;COVID-19 pandemic in the Democratic Republic of the Congo;DR Congo men's national football team;Democratic Republic of the Congo;Democratic Republic of the Congo–Rwanda border;Democratic Republic of the Congo–South Sudan border;Democratic Republic of the Congo–Uganda border;Democratic Republic of the Congo–Zambia border;Republic of the Congo (Léopoldville);history of the Democratic Republic of the Congo,"The Democratic Republic of Congo national football team, nicknamed the Leopards;aspect of history;country in Central Africa;former country (1960–1971) in Africa, predecessor of Zaire;international border;viral pandemic in the Democratic Republic of the Congo",1.0,"{'type': 'label', 'language': 'en', 'text': 'Democratic Republic of the Congo'}","Q3624078,Q6256","country,sovereign state",,,"Q1331783,Q27433","Central Africa,Economic Community of the Great Lakes Countries"
Denmark,Q35,Denmark,country in Northern Europe and North America,Denmark;Denmark A;Denmark. Statens museum for kunst,Q1013988;Q106500037;Q115534;Q131785;Q35;Q37044634;Q5257930;Q56887384;Q671384;Q756617,Denmark;Denmark men's national football team;Kingdom of Denmark;Shire of Denmark;Statens Museum for Kunst;Suitable for a general audience,"art museum in Copenhagen, Denmark;constituency of the European Parliament;country in Northern Europe and North America;family name;film content classification given by Medierådet for Børn og Unge;given name;local government area in Western Australia;men's national association football team representing Denmark;town in Western Australia;transcontinental sovereign state and constitutional monarchy",1.0,"{'type': 'label', 'language': 'en', 'text': 'Denmark'}","Q20181813,Q6256,Q63791824,Q66724388,Q7275","autonomous country within the Kingdom of Denmark,colonial power,country,country bordering the Baltic Sea,state",,,"Q21195,Q27479,Q458,Q52062,Q756617,Q8932","European Economic Area,European Union,Kingdom of Denmark,Nordic countries,Northern Europe,Scandinavia"
Depresiunea Transilvaniei,Q990226,Transylvanian Plateau,Plateau in central Romania,Depresiunea Transilvaniei,Q990226,Transylvanian Plateau,Plateau in central Romania,0.95,"{'type': 'alias', 'language': 'eo', 'text': 'Depresiunea Transilvaniei'}",Q75520,plateau,,,Q1288,Carpathians
Diaspora (especially Egypt,,,,,,,,0.0,,,,,,,
Diyar Bakr,Q5285024,Diyar Bakr,Medieval province in Upper Mesopotamia,Diyar Bakr,Q5285024;Q83387,Diyar Bakr;Diyarbakır,"Medieval province in Upper Mesopotamia;city in Southeastern Anatolia, Turkey",1.0,"{'type': 'label', 'language': 'en', 'text': 'Diyar Bakr'}",Q1620908,historical region,,,"Q12557,Q12560,Q18234383,Q311819,Q3708094,Q555994,Q63135869,Q646434,Q837187","Aq Qoyunlu,Ayyubid Sultanate,Hamdanid dynasty,Marwanids,Mongol Empire,Ottoman Empire,Safavid Iran,Seljuk Empire,Upper Mesopotamia"
Diyar Bakr (center) to Khurasan,,,,,,,,0.0,,,,,,,
Djibouti,Q977,Djibouti,sovereign state in Africa,Djibouti flag,Q102184;Q107088980;Q18206510;Q275698;Q3604;Q4594;Q503135;Q8273241;Q912116;Q977,Djibouti;Djibouti City;Djibouti Premier League;Djibouti men's national football team;Djiboutian franc;flag of Djibouti,;2010 novel by Elmore Leonard;association football league;capital city of Djibouti;currency of Djibouti;national anthem of Djibouti;national association football team;national flag of the Republic of Djibouti;sovereign state in Africa;weekly newspaper in French Somaliland,1.0,"{'type': 'label', 'language': 'en', 'text': 'Djibouti'}","Q3624078,Q6256","country,sovereign state",,,"Q179023,Q27407","East Africa,French colonial empire"
Dobrogea,Q4163811,Dobrogea,"village in Chișinău Municipality, Moldova",Dobrogea,Q111919690;Q182660;Q20432886;Q20858640;Q2449740;Q3736223;Q4163675;Q4163811;Q5286773;Q56538197,Dobrogea;Dobrogea Nouă;Dobrogea Plateau;Dobrogea Region;Dobrogea Veche;Dobrogea Wind Farm;Dobrogea railway halt;Dobrogeanu;Dobruja,";administrative unit of Romania, 1960-1968;commune in Sîngerei District, Moldova;family name;historical region shared by Romania and Bulgaria;land formation in eastern Romania;railway halt in Moldova;village in Chișinău Municipality, Moldova;village in Sîngerei District, Moldova",1.0,"{'type': 'label', 'language': 'en', 'text': 'Dobrogea'}",Q532,village,,,,
Dobrogea de sud,Q912868,Southern Dobruja,geographical region in northeastern Bulgaria,Dobrogea de Sud,Q912868,Southern Dobruja,geographical region in northeastern Bulgaria,0.95,"{'type': 'label', 'language': 'ro', 'text': 'Dobrogea de Sud'}",Q4835091,territory,,,,
Dobruja,Q182660,Dobruja,historical region shared by Romania and Bulgaria,Dobruja Army;Dobrujan Tatars,Q122974291;Q1233560;Q127003333;Q12811566;Q130734223;Q167822;Q182660;Q31180980;Q4170775;Q9159990,Dobruja;Dobruja Campaign;Dobruja Horde;Dobrujan Arabs;Dobrujan Germans;Dobrujan Tatar;Dobrujan Tatar alphabet;Dobrujans;Russian Dobruja Army;Tatars of Romania,;1916 battle of World War I;Assimilated Arabic ethnic group;German-speaking minority in Dobruja;Tatar language of Romania;Turkic ethnic group mostly of southeast Romania;alphabet of Dobrujan Tatar;ethnic group;historical region shared by Romania and Bulgaria,1.0,"{'type': 'label', 'language': 'en', 'text': 'Dobruja'}",Q1620908,historical region,,,,
Dolj County,Q191065,Dolj County,county in Romania,Dolj County COVID-19 pandemic,Q104720268;Q18539778;Q191065;Q26257380;Q89485112;Q89588537,COVID-19 pandemic in Dolj County;Dolj County;Dolj County Council;Dolj County Prefecture in Craiova;Dolj County councillor,";county in Romania;county of the Kingdom of Romania;elected assembly of Dolj County, Romania;heritage site in Dolj County, Romania",1.0,"{'type': 'label', 'language': 'en', 'text': 'Dolj County'}",Q1776764,county of Romania,,,,
Dominica,Q784,Dominica,island sovereign state in the Caribbean Sea,Dominica,Q131479;Q132;Q21143838;Q220724;Q272630;Q5200605;Q63253698;Q784;Q786;Q898798,Cyriaca;Dominica;Dominica men's national football team;Dominican Order;Dominican Republic;Dominican amber;Sunday;dominican friar,O.P. male member of Dominican Order;Roman Catholic religious order;Roman Empress as the wife of Valens;amber from the Dominican Republic;day of the week;female given name;island sovereign state in the Caribbean Sea;men's national association football team representing Dominica;saint,1.0,"{'type': 'label', 'language': 'en', 'text': 'Dominica'}","Q112099,Q3624078,Q6256","country,island country,sovereign state",,,"Q183416,Q66458647,Q664609,Q93259","Caribbean,European Union tax haven blacklist,Lesser Antilles,Windward Islands"
Dominican Republic,Q786,Dominican Republic,island sovereign state in the Caribbean Sea,Dominican Republic Soccer League;Dominican Republic sports,Q103906065;Q114526651;Q150240;Q19314236;Q25343622;Q436711;Q47233;Q599930;Q7579920;Q786,Dominican Republic;Dominican Republic at the Olympics;Dominican Republic men's national association football team;Dominican Republic men's national basketball team;Dominican Republic parliamentary election;Dominican Republic women's national volleyball team;Liga Dominicana de Fútbol;sport in the Dominican Republic,;Participation of athletes from the Dominican Republic in the Olympic Games;encyclopedia article;episode of Man vs. Wild (S3 E9);island sovereign state in the Caribbean Sea;men's national association football team representing the Dominican Republic;national sports team;overview of sport in the Dominican Republic;professional football league in Dominican Republic;women's national volleyball team representing Dominican Republic,1.0,"{'type': 'label', 'language': 'en', 'text': 'Dominican Republic'}","Q112099,Q11815167,Q3624078,Q6256","archipelagic state,country,island country,sovereign state",,,"Q12585,Q664609","Caribbean,Latin America"
Donauprovinzen,,,,,,,,0.0,,,,,,,
Drava River Valley (Croatia,,,,,,,,0.0,,,,,,,
Drava River Valley/Upper Sava River Valley (Croatia,,,,,,,,0.0,,,,,,,
Drava and Mura River Valley (Croatia,,,,,,,,0.0,,,,,,,
Dura-Europos,Q464266,Dura-Europos,ancient Syrian city,Dura-Europos Route Map,Q103907742;Q115359908;Q121064682;Q121064865;Q121064866;Q121064873;Q122760384;Q1577089;Q2921418;Q464266,"DURA EUROPOS;Dura Europos;Dura-Europos;Dura-Europos archival photograph, YUAG Negative number z18;Dura-Europos synagogue;SB 6 9584 Distances Given for a Roman Road. Bibliothèque Nationale 1354.5","an ancient synagogue uncovered at Dura-Europos, Syria, in 1932. The last phase of construction was dated by an Aramaic inscription to 244 AD, making it one of the oldest synagogues in the world;ancient Syrian city;archival photograph of Citadel from Dura-Europos Archive;book by Jennifer Baird, published by Bloomsbury Press in 2018;book published in 2018;book section published in 1965;book section published in 1999;encyclopedia article published in 1996;encyclopedic article;parchment excavated from Dura-Europos",1.0,"{'type': 'label', 'language': 'en', 'text': 'Dura-Europos'}","Q15661340,Q56061,Q839954","administrative territorial entity,ancient city,archaeological site",,,,
Dvaravati kingdom,Q1268307,Dvaravati kingdom,disparate conglomerate of principalities lasting from the 6th to the 13th centuries in Thailand,,Q1268307,Dvaravati kingdom,disparate conglomerate of principalities lasting from the 6th to the 13th centuries in Thailand,1.0,"{'type': 'label', 'language': 'en', 'text': 'Dvaravati kingdom'}",Q3024240,historical country,,,,
Dâmbovița County,Q188797,Dâmbovița County,county of Romania,Dâmbovița County COVID-19 pandemic,Q104720267;Q12731463;Q188797;Q89485118;Q89588539,COVID-19 pandemic in Dâmbovița County;Dâmbovița County;Dâmbovița County Council;Dâmbovița County councillor,";county of Romania;county of the Kingdom of Romania;elected assembly of Dâmbovița County, Romania",1.0,"{'type': 'label', 'language': 'en', 'text': 'Dâmbovița County'}",Q1776764,county of Romania,,,,
Earth,Q2,Earth,third planet from the Sun in the Solar System,Earth;Earth I;Earth day;Earth globe;earth,Q133792;Q2;Q28974;Q36133;Q405;Q47670;Q573;Q7944;Q83697636;Q83697695,"Black Sabbath;Earth;Earth, Wind & Fire;Moon;day;earthquake;globe;soil","American funk band from Chicago;British heavy metal band;Earth's only natural satellite;natural body consisting of layers that are primarily composed of minerals;planet Earth as depicted in the 1987–1996 Teenage Mutant Ninja Turtles animated television series;planet Earth as depicted in the 2003–2009 Teenage Mutant Ninja Turtles animated television series;result of a sudden release of energy in the Earth's crust that creates seismic waves;scale model of a celestial body;third planet from the Sun in the Solar System;unit of time lasting 24 hours, derived from the period of Earth's rotation about its axis",1.0,"{'type': 'label', 'language': 'en', 'text': 'Earth'}","Q128207,Q3504248","inner planet of the Solar System,terrestrial planet",,,"Q18589965,Q544","Earth-Moon system,Solar System"
East Africa,Q27407,East Africa,easterly region of the African continent,East Africa Time;East African Rift System;East African land snail;East African trypanosomiasis,Q114479585;Q15751001;Q1773949;Q18966239;Q26908;Q27407;Q27721259;Q6760;Q81591;Q876185,Achatina fulica;East Africa;East Africa Protectorate;East Africa Time;East African Medical Journal;East African journal of public health;Great Rift Valley;Trypanosoma brucei rhodesiense infectious disease;UTC+03:00,Human disease;continuous geographic trench;easterly region of the African continent;episode of Wildboyz (S2 E6);former British colony in Africa;identifier for a time offset from UTC of +3;journal;species of land snail;time zone used in eastern Africa,1.0,"{'type': 'label', 'language': 'en', 'text': 'East Africa'}","Q3502482,Q82794","cultural region,region",,,Q15,Africa
East Britain,,,,,,,,0.0,,,,,,,
East Greece,,,,,,,,0.0,,,,,,,
East Sussex,Q23293,East Sussex,ceremonial county in England (use Q21694646 for administrative non-metropolitan county),,Q106500864;Q106501001;Q106501631;Q16966517;Q17581821;Q21694646;Q23293;Q5329458;Q5329459;Q64848506,East Sussex;East Sussex County Council;East Sussex Healthcare NHS Trust;East Sussex Record Office,"British administrative body;Parliamentary constituency in the United Kingdom, 1832-1885;UK public sector healthcare provider in East Sussex, England (2002- );Vanity Fair caricature of Col Arthur Montagu Brookfield MP by Spy;Vanity Fair caricature of Montagu David Scott MP by Spy;Vanity Fair caricature of Mr George Burrow Gregory MP by Spy;Watsonian vice-county;archive and county record office for East Sussex;ceremonial county in England (use Q21694646 for administrative non-metropolitan county);non-metropolitan county in South East England, UK (excludes Brighton & Hove)",1.0,"{'type': 'label', 'language': 'en', 'text': 'East Sussex'}",Q180673,ceremonial county of England,,,,
Eastern Anatolia,Q211263,Armenian Highlands,highland area in western Asia south of the Caucasus,Eastern Anatolian highlands,Q114056642;Q124308005;Q124372907;Q155542;Q20988343;Q20988344;Q211263;Q5329976;Q58154227;Q6032929,Armenian Highlands;Eastern Anatolia Development Programme;Eastern Anatolia Observatory;Eastern Anatolia Project;Eastern Anatolia Region;Eastern Anatolian Deciduous Forests Ecoregion;Eastern Anatolian Montane Steppe Ecoregion;Eastern Anatolian deciduous forests;Eastern Anatolian montane steppe;Eastern Anatolian obsidians at Çatalhöyük and the reconfiguration of regional interaction in the Early Ceramic Neolithic,";Ecoregion (WWF);One Earth Ecoregion;astronomical observatory in Erzurum, Turkey;ecoregion in western Asia;highland area in western Asia south of the Caucasus;region of East Turkey;regional development project in Türkiye;scholarly article by Tristan Carter published in December 2008",0.8,"{'type': 'alias', 'language': 'en', 'text': 'Eastern Anatolian highlands'}",Q46831,mountain range,,,Q847514,Alpide belt
Eastern Arabia,Q4165357,Eastern Arabia,historical region encompassing the entire coastal strip of Eastern Arabian Peninsula,,Q132096106;Q4165357;Q4783279,Eastern Arabia;Eastern Arabia Perfume & Cosmetics;Eastern Arabian cuisine,;historical region encompassing the entire coastal strip of Eastern Arabian Peninsula;traditional Arabic cuisine,1.0,"{'type': 'label', 'language': 'en', 'text': 'Eastern Arabia'}",Q1620908,historical region,,,,
Eastern Croatia,Q12633065,Eastern Croatia,,,Q12633065,Eastern Croatia,,1.0,"{'type': 'label', 'language': 'en', 'text': 'Eastern Croatia'}",Q15642541,human-geographic territorial entity,,,,
Eastern Croatia (Middle Danube River Valley,,,,,,,,0.0,,,,,,,
Eastern Empire,Q21178461,Eastern Empire,Wikimedia disambiguation page,Eastern Empire Theatre,Q21178461;Q42033709,Eastern Empire;Regal Cinema,"Wikimedia disambiguation page;former cinema in Bow, Tower Hamlets, London, England",1.0,"{'type': 'label', 'language': 'en', 'text': 'Eastern Empire'}",Q4167410,Wikimedia disambiguation page,,,,
Eastern Empire and Western Empire,,,,,,,,0.0,,,,,,,
Eastern Europe,Q27468,Eastern Europe,eastern part of Europe,Eastern Europe history;Eastern European Summer Time;Eastern European Time;Eastern European politics and societies,Q100710487;Q1109976;Q111726464;Q1641744;Q190252;Q23908696;Q27468;Q5328324;Q6723;Q6760,"East European Politics and Societies;Eastern Europe;Eastern Europe Truck Simulator;Eastern Europe: An Introduction to the People, Lands, and Culture;Eastern European Summer Time;Eastern European Time;Eastern European theatre of World War II;UTC+02:00;UTC+03:00;history of Eastern Europe","2022 video game;academic journal;book published in 2005;daylight savings time zone used in eastern Europe (UTC+3);eastern part of Europe;identifier for a time offset from UTC of +2;identifier for a time offset from UTC of +3;past events East Europe;theatre of conflict during World War II, encompassing Central Europe, Eastern Europe, Northeast Europe (Baltics), and Southeast Europe (Balkans);time zone",1.0,"{'type': 'label', 'language': 'en', 'text': 'Eastern Europe'}",Q82794,region,,,Q46,Europe
Eastern Macedonia,Q1465731,Eastern Statistical Region,statistical region of North Macedonia,Eastern Macedonia,Q11217889;Q127742518;Q12872457;Q1465731;Q171314;Q29025620;Q52611344,Eastern Macedonia;Eastern Macedonia Army Section;Eastern Macedonia and Thrace Association of Basketball Clubs;Eastern Macedonia and Thrace Institute of Technology;Eastern Macedonia and Thrace Region;Eastern Macedonia with Mount Athos;Eastern Statistical Region,;Academic publisher based in Greece;Greek field army during WW2;Wikimedia disambiguation page;one of the 13 administrative regions of Greece;scholarly article;statistical region of North Macedonia,0.95,"{'type': 'alias', 'language': 'en', 'text': 'Eastern Macedonia'}","Q1416863,Q56061","administrative territorial entity,statistical region of North Macedonia",,,,
Eastern Mediterranean,Q81483,Levant,geographic and cultural region consisting of the eastern Mediterranean between Anatolia and the Sinai Peninsula,Eastern Mediterranean;Eastern Mediterranean Regional Office of World Health Organisation,Q2035790;Q28739880;Q3301962;Q3844660;Q5330283;Q5330284;Q5330286;Q545327;Q77087881;Q81483,Eastern Mediterranean;Eastern Mediterranean Championship Tennis;Eastern Mediterranean Health Journal;Eastern Mediterranean Optical System 1;Eastern Mediterranean Public Health Network;Eastern Mediterranean University;Eastern Mediterranean conifer-sclerophyllous-broadleaf forests;Eastern Mediterranean event;Levant;World Health Organization Regional Office for the Eastern Mediterranean,"Tennis tournament;atmospheric explosion above the Mediterranean Sea, caused by small asteroid;ecoregion in the Eastern Mediterranean Basin;geographic and cultural region consisting of the eastern Mediterranean between Anatolia and the Sinai Peninsula;healthcare organization in Amman, Jordan;higher-education institution of technology for Turkish Cypriots;journal;organization;region that is geographically located to the east of the Mediterranean Sea;submarine fibre optic cable system",0.95,"{'type': 'alias', 'language': 'en', 'text': 'Eastern Mediterranean'}","Q3502482,Q82794","cultural region,region",,,Q7204,Middle East
Eastern Norway,Q216065,Eastern Norway,region of Norway,,Q12011957;Q131892249;Q216065;Q30259814;Q5330339,Eastern Norway;Eastern Norway County Network;Eastern Norway Exhibition;Eastern Norway Regional Health Authority;Eastern Norway Research Institute,";facility in Lillehammer, Norway;region of Norway",1.0,"{'type': 'label', 'language': 'en', 'text': 'Eastern Norway'}",Q369639,region of Norway,,,"Q12718866,Q20","Norway,South Norway"
Eastern Persia to India,,,,,,,,0.0,,,,,,,
Eastern Wiltshire,,,,,,,,0.0,,,,,,,
Ecuador,Q736,Ecuador,sovereign state in South America,Ecuador;Ecuador Archipelago;Ecuadorian Andes;Ecuadorian parish,Q1084346;Q114470838;Q2289847;Q2347797;Q2579179;Q38095;Q5250951;Q5456;Q736;Q987584,10792 Ecuador;Andes;Ecuador;Ecuador Serie A;Ecuador men's national football team;Galapagos Islands;parish of Ecuador,"1997 single by Sash! featuring Rodriguez;Archipelago in the Pacific Ocean, part of Ecuador since 1832;Ecuador territorial subdivision of a canton;asteroid;episode of Man vs. Wild (S1 E14);men's national association football team representing Ecuador;metro station in Santiago, Chile;mountain range running along the western side of South America;sovereign state in South America;top division of Ecuadorian soccer",1.0,"{'type': 'label', 'language': 'en', 'text': 'Ecuador'}","Q3624078,Q6256","country,sovereign state",,,"Q12585,Q18,Q653884,Q828","Americas,Hispanic America,Latin America,South America"
Egypt,Q79,Egypt,country in Northeast Africa and Southwest Asia,"Egypt;Egypt Standard Time;Egypt, Ancient;Egyptian University",Q11768;Q127861;Q190252;Q194445;Q2374285;Q29919;Q374740;Q491507;Q56121321;Q79,Ancient Egypt;Cairo University;Eastern European Time;Egypt;Egypt eyalet;EgyptAir;Egyptian Arabic;Egyptian Arabic Wikipedia;Khedivate of Egypt,"1867-1914 monarchy in Northeastern Africa;Arabic dialect spoken in Egypt;Egyptian Arabic-language version of Wikipedia;Egyptian State (1517–1867);Egyptian civilization from the 31st century BC to the 1st century BC;country in Northeast Africa and Southwest Asia;national airline of Egypt;public university with its main campus in Giza, Egypt;recording by Kate Bush from the 1980 album Never For Ever;time zone",1.0,"{'type': 'label', 'language': 'en', 'text': 'Egypt'}","Q1323642,Q3624078,Q51576574,Q6256","Mediterranean country,country,sovereign state,transcontinental country",,,"Q27293,Q27381,Q7204","Middle East,North Africa,West Asia"
Egypt and Damascus,,,,,,,,0.0,,,,,,,
Egypt and Ethiopia,,,,,,,,0.0,,,,,,,
Egypt and parts of Italy,,,,,,,,0.0,,,,,,,
El Salvador,Q792,El Salvador,sovereign state in Central America,El Salvador;el Salvador,Q1026982;Q188228;Q195686;Q20001135;Q302;Q3721003;Q4531398;Q5823253;Q760814;Q792,El Salvador;El Salvador men's national football team;Emma Swan-Jones;Jesus Christ,"Fictional character on Once Upon a Time;central figure of Christianity (6 or 4 BC – AD 30 or 33);city of the Philippines in the province of Misamis Oriental;locality in El Salvador, Mexico;men's national association football team;municipality and town in Guantánamo, Cuba;municipality of Zacatecas, Mexico;song by Athlete;sovereign state in Central America;town in Diego de Almagro commune, Chañaral Province, Chile",1.0,"{'type': 'label', 'language': 'en', 'text': 'El Salvador'}","Q3624078,Q6256","country,sovereign state",,,"Q12585,Q27611","Central America,Latin America"
Elam,Q16869798,Elam,family name,ELAM,Q111072496;Q128904;Q16869798;Q20970089;Q24260853;Q2748384;Q5353345;Q5353352;Q55464178;Q60443117,ELAM;Elam;Elam School of Fine Arts;SELE,"American nonprofit organization;ancient pre-Iranian civilization between 3200 and 539 BC;art school in Auckland, New Zealand;family name;far-right, ultra-nationalist movement in Cyprus;given name;human settlement in Chanchal II community development block, Chanchal subdivision, Malda district, India;location in Dallas, Texas, United States, also known as Elam Station;protein-coding gene in the species Homo sapiens;unincorporated community in Virginia",1.0,"{'type': 'label', 'language': 'en', 'text': 'Elam'}",Q101352,family name,,,,
Elsewhere,Q135063228,ELSEWHERE,video game developed by Docter,Elsewhere,Q135063228;Q17002599;Q2294879;Q2544778;Q3213374;Q3638345;Q4134600;Q5367533;Q5367534;Q61738771,ELSEWHERE;Elsewhere;Luke Eargoggle,;2001 film by Nikolaus Geyrhalter;2009 film by Nathan Hope;2010 film by Frédéric Pelle;2019 film by Hernan Jimenez;album by Joe Morris;album by Scott Matthews;book by Gabrielle Zevin;novel by William Peter Blatty;video game developed by Docter,1.0,"{'type': 'label', 'language': 'en', 'text': 'ELSEWHERE'}",Q7889,video game,,,,
Eluth,Q689831,Oirats,westernmost group of Mongols,Eluths,Q124835091;Q27447633;Q27447634;Q63525881;Q689831;Q70117487,Elutha;Elutheria;Eluthumadduval North;Eluthumadduval South;Eluthur Branch Post Office;Oirats,";Wikimedia disambiguation page;parish of Yanda County, New South Wales, Australia;westernmost group of Mongols",0.8,"{'type': 'alias', 'language': 'en', 'text': 'Eluths'}",Q41710,ethnic group,Q10588098,Mongolic peoples,,
Emden,Q4174,Emden,"biggest city in East Friesland, Lower Saxony, Germany",Emden,Q104880011;Q1133433;Q1335282;Q14620153;Q21339945;Q37458524;Q4174;Q682421;Q819205;Q834031,Emden;Emdenimyia;Fritz Isidore van Emden;German corvette Emden,"1925 German light cruiser;1980 Bremen-class frigate;British entomologist (1898-1958);German Braunschweig-class corvette;biggest city in East Friesland, Lower Saxony, Germany;family name;genus of insects;human settlement in Germany;lunar crater;village in Logan County, Illinois, United States",1.0,"{'type': 'label', 'language': 'en', 'text': 'Emden'}","Q133997300,Q2264924,Q42744322,Q85635929","Einheitsgemeinde of Lower Saxony,port city,urban district of Lower Saxony,urban municipality in Germany",,,,
Emden (Lower Saxony,,,,,,,,0.0,,,,,,,
