pid,propertyLabel,propertyDescription,datatype,occurrences,file_count,sample_files,in_catalog
P292,,,,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P293,,,,6,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P294,,,,6,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P295,,,,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P296,station code,"generic identifier for a railway station, when possible, use specific property on certain coding system (e.g. P1378 for China Railway TMIS codes)",string,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P297,ISO 3166-1 alpha-2 code,identifier for a country in two-letter format per ISO 3166-1,external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P298,ISO 3166-1 alpha-3 code,identifier for a country in three-letter format per ISO 3166-1,external-id,19,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P299,ISO 3166-1 numeric code,identifier for a country in numeric format per ISO 3166-1,external-id,57,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P300,ISO 3166-2 code,identifier for a country subdivision per ISO 3166-2 (include country code),external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P301,category's main topic,primary topic of the subject Wikimedia category,wikibase-item,14,6,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Subjects\LCC\lcc_P_PA_language_backbone.json,yes
P302,,,,13,4,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Subjects\LCC\lcc_P_PA_language_backbone.json | Subjects\lcc_flat.csv,no
P303,EE breed number,breed identification number per the EE list of the breeds of fancy pigeons (ELFP),external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P304,page(s),"page number of source referenced for statement. Note ""column(s)"" (P3903) and ""folio(s)"" (P7416) for other numbering systems",string,7,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P305,IETF language tag,"identifier for language or languoid per the Internet Engineering Task Force; can include a primary language subtag, subtags for script, region, variant, extension, or private-use. Format: 2 or 3 letters, followed by ""-"" if subtags present",external-id,7,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P306,operating system,operating system (OS) on which a software works or the OS installed on hardware,wikibase-item,28,6,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Subjects\LCC\lcc_P_PA_language_backbone.json,yes
P307,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P310,,,,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P311,,,,6,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P313,,,,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P316,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P318,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P319,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P321,,,,9,4,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Subjects\LCC\lcc_P_PA_language_backbone.json | Subjects\lcc_flat.csv,no
P323,,,,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P324,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P325,,,,33,4,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Subjects\LCC\lcc_P_PA_language_backbone.json | Subjects\lcc_flat.csv,no
P326,,,,11,4,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Subjects\LCC\lcc_P_PA_language_backbone.json | Subjects\lcc_flat.csv,no
P327,,,,5,2,Subjects\LCC\lcc_P_PA_language_backbone.json | Subjects\lcc_flat.csv,no
P333,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P343,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P344,director of photography,"person responsible for the framing, lighting, and filtration of the subject work",wikibase-item,5,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P345,IMDb ID,"identifier for the IMDb (with prefix 'tt', 'nm', 'co', 'ev', 'ch' or 'ni')",external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P347,Joconde work ID,identifier in the Joconde database of the French Ministry of Culture,external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P348,software version identifier,"numeric or nominal identifier of a version of a software program or file format, current or past",string,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P349,NDL Authority ID,identifier for authority control per the National Diet Library of Japan,external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P350,RKDimages ID,identifier per RKDimages of the Netherlands Institute for Art History,external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P351,Entrez Gene ID,identifier for a gene per the NCBI Entrez database,external-id,5,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P352,UniProt protein ID,identifier for a protein per the UniProt database,external-id,5,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P353,HGNC gene symbol,"the official gene symbol approved by the HGNC, which is typically a short form of the gene name",external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P354,HGNC ID,a unique ID provided by the HGNC for each gene with an approved symbol. HGNC IDs remain stable even if a name or symbol changes,external-id,5,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P355,child organization or unit,"child organization/unit of a organization/unit; for companies, generally a fully owned separate corp., see business division (P199); opposite of parent org./unit (P749); use instance of (P31) to distinguish org. (Q43229) and org. unit (Q10387680)",wikibase-item,7,5,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P356,DOI,serial code used to uniquely identify digital objects like academic papers (use upper case letters only),external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P357,,,,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P358,discography,item for list pages with discography of artist or band,wikibase-item,33,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P359,Rijksmonument ID,identifier for a monument assigned by the Rijksdienst voor het Cultureel Erfgoed,external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P360,is a list of,common element between all listed items,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P361,part of,"object of which the subject is a part (if this subject is already part of object A which is a part of object B, then please only make the subject part of object A), inverse property of ""has part"" (P527, see also ""has parts of the class"" (P2670))",wikibase-item,45,23,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Discipline.md | FAST\FASTTopical.marcxml | JSON\chrystallum_schema.json,yes
P364,original language of film or TV show,"language in which a film or a performance work was originally created. Deprecated for written works and songs; use P407 (""language of work or name"") instead.",wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P365,,,,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P366,has use,main use of the subject (includes current and former usage),wikibase-item,21,12,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | JSON\chrystallum_schema.json | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv,yes
P367,astronomic symbol image,"image of the symbol that identifies a planet, asteroid, or other object in the Solar System",commonsMedia,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P368,Sandbox-CommonsMediaFile,"Sandbox property for value of type ""Commons Media File""",commonsMedia,5,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P369,Sandbox-Item,"Sandbox property for value of type ""Item""",wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P370,Sandbox-String,"Sandbox property for the data value type ""String""",string,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P371,presenter,main role in presenting a radio or television program or a performing arts show,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P373,Commons category,"name of the Wikimedia Commons category containing files related to this item (without the prefix ""Category:"")",string,4,3,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Subjects\processing historical periods.md,yes
P374,Insee municipality code,"identifier/code with five digits or letters for a municipality or a municipal arrondissement in France, per the National Institute of Statistics and Economic Studies",external-id,9,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P375,space launch vehicle,type of rocket or other vehicle for launching subject payload into outer space,wikibase-item,16,6,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Subjects\LCC\lcc_P_PA_language_backbone.json,yes
P376,located on astronomical body,single astronomical body on which features or places are situated,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P377,SCN,"Satellite Catalog Number, 5-digit-number including leading zeros (e.g. '00266')",external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P380,Mérimée ID,identifier for a monument in the Mérimée database of French cultural heritage,external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P381,PCP reference number,identifier for cultural properties in Switzerland,external-id,5,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P382,CBS municipality code,identifier for a Dutch municipality as defined by Statistics Netherlands (CBS),external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P384,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P393,edition number,"number of an edition (first, second, ... as 1, 2, ...) or event",string,5,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P394,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P395,licence plate code,distinguishing signs or parts of license plate associated with the subject. For countries: international licence plate country code or distinguishing sign of vehicles,string,9,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P396,SBN author ID,identifier issued by National Library Service (SBN) of Italy,external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P397,parent astronomical body,major astronomical body the item belongs to,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P398,child astronomical body,minor body that belongs to the item,wikibase-item,4,3,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P399,companion of,two or more astronomic bodies of the same type relating to each other,wikibase-item,5,3,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P400,platform,"platform for which a work was developed or released, or the specific platform version of a software product",wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P402,OpenStreetMap relation ID,identifier for a relation in OpenStreetMap,external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P403,mouth of the watercourse,the body of water to which the watercourse drains,wikibase-item,5,3,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P404,game mode,video game's available playing mode(s),wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P405,taxon author,the author(s) that (optionally) may be cited with the scientific name,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P406,soundtrack release,music release that incorporates music directly recorded from the soundtrack of an audiovisual work,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P407,language of work or name,"language associated with this creative work (such as books, shows, songs, broadcasts or websites) or a name (for persons use ""native language"" (P103) and ""languages spoken, written or signed"" (P1412))",wikibase-item,5,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P408,software engine,software engine employed by the subject item,wikibase-item,5,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P409,Libraries Australia ID,"identifier issued by the National Library of Australia (see also P1315 for the newer People Australia identifier). VIAF component. Format: 1-12 digits, removing leading zero-padding.",external-id,7,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P410,"military, police or special rank","military or police rank achieved by a person (should usually have a ""start time"" qualifier), or military or police rank associated with a position",wikibase-item,13,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P411,canonization status,formal stage in the process of attaining sainthood per the subject's religious organization,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P412,voice type,"person's voice type. expected values: soprano, mezzo-soprano, contralto, countertenor, tenor, baritone, bass (and derivatives)",wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P413,position played on team / speciality,position or specialism of a player on a team,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P414,stock exchange,exchange on which this company is traded,wikibase-item,5,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P415,radio format,describes the overall content broadcast on a radio station,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P416,quantity symbol (string),symbol for a mathematical or physical quantity,string,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P417,patron saint,patron saint adopted by the subject,wikibase-item,7,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P418,"has seal, badge, or sigil",links to the item for the subject's seal,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P421,located in time zone,time zone for this item,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P422,,,,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P423,shooting handedness,whether the hockey player passes or shoots left- or right-handed,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P424,Wikimedia language code,identifier for a language or variant as used by Wikimedia projects,string,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P425,field of this occupation,"field corresponding to this occupation or profession (use only for occupations/professions - for people use Property:P101, for companies use P452)",wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P426,aircraft registration,identifier assigned to an individual aircraft by civil aircraft registry,string,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P427,taxonomic type,type genus or species: [in zoology:] nominal genus or species that is the name-bearing type of this nominal family or genus (or family-group ranked taxon or subgenus); type specimen that is the name-bearing type of this nominal species or subspecies,wikibase-item,9,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P428,botanist author abbreviation,"standard form (official abbreviation) of a personal name for use in an author citation (only for names of algae, fungi and plants)",external-id,7,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P429,dantai code,"6-digit identifier for an administrative division of Japan, assigned by Ministry of Internal Affairs and Communications",external-id,7,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P432,callsign of airline,identifier used in radio transmissions to refer to the subject airline,external-id,5,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P433,issue,"issue of a newspaper, a scientific journal or magazine for reference purpose",string,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P434,MusicBrainz artist ID,identifier for an artist in the MusicBrainz open music encyclopedia,external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P435,MusicBrainz work ID,identifier for a work per the MusicBrainz open music encyclopedia,external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P436,MusicBrainz release group ID,"identifier for a release group per the MusicBrainz open music encyclopedia (album, single, etc.)",external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P437,distribution format,method (or type) of distribution for the subject,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P439,German municipality key,numerical code for municipalities and independent towns in Germany,external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P440,German district key,numerical code for districts (Landkreise) and independent towns in Germany,external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P442,China division code for Statistics,identifier for divisions of People's Republic of China for Statistics (with spaces),external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P443,pronunciation audio,audio file with pronunciation,commonsMedia,4,3,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P444,review score,review score received by a creative work or other entity,string,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P447,review score by,issuer of a review score,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P449,original broadcaster,network(s) or service(s) that originally broadcast a radio or television program,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P450,astronaut mission,space mission that the subject is or has been a member of (do not include future missions),wikibase-item,9,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P451,unmarried partner,"someone with whom the person is in a relationship without being married. Use ""spouse"" (P26) for married couples",wikibase-item,5,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Relationships\relationship_types_registry_master.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P452,industry,specific industry of company or organization,wikibase-item,5,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P453,character role,"specific role played or filled by subject -- use only as qualifier of ""cast member"" (P161), ""voice actor"" (P725)",wikibase-item,16,5,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | md\Architecture\Wikidata_SPARQL_Patterns.md,yes
P454,Structurae structure ID,identifier for a building in the Structurae database,external-id,15,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P455,Emporis building ID,"former identifier for a building in the defunct Emporis database (for building complexes, see P2270)",external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P456,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P457,foundational text,text through which an institution or object has been created or established,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P458,IMO ship number,"identifier for a ship, ship owner or ship manager per the International Maritime Organization",external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P459,determination method or standard,"how a value is determined, or the standard by which it is declared",wikibase-item,16,3,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Subjects\query.csv,yes
P460,said to be the same as,"this item is said to be the same as that item, though this may be uncertain or disputed",wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P461,opposite of,item that is in some way the opposite of this item,wikibase-item,5,3,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P462,color,color of subject,wikibase-item,9,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P463,member of,"organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that)",wikibase-item,13,7,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_pvalue_curation2_2026-02-13.csv,yes
P464,NOR numbering ID,identifier for French official texts,external-id,15,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P465,sRGB color hex triplet,"sRGB hex triplet format for subject color (e.g. 7FFFD4) specifying the 8-bit red, green and blue components",string,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P466,occupant,person or organization occupying property,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P467,legislated by,indicates that an act or bill was passed by a legislature. The value can be a particular session of the legislature,wikibase-item,8,3,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P468,dan/kyu rank,"rank system used in several board games (e.g. go, shogi, renju), martial arts (e.g. judo, kendo, wushu) and some other games",wikibase-item,13,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P469,lake on watercourse,lake or reservoir through which the river or stream flows,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P470,Eight Banner register,Manchu household register for people of the Qing Dynasty,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P473,local dialing code,identifier dedicated to subject city by the area communication network,string,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P474,telephone country code,identifier for a country - dialed on phone after the international dialing prefix (precede value by +),string,11,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P475,,,,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P476,CELEX number,identifier for European legal texts in EUR-Lex database,external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P477,Canadian Register of Historic Places ID,identifier in the Canadian Register of Historic Places,external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P478,volume,volume of a book or music release in a collection/series or a published collection of journal issues in a serial publication,string,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P479,input device,input device used to interact with a software or a device,wikibase-item,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P480,FilmAffinity film ID,FilmAffinity identification number of a creative work,external-id,3,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
